Entry	Positiv	Negativ	Pstv	Affil	Ngtv	Hostile	Strong	Power	Weak	Active	Passive	Virtue	Vice	Ovrst	ECON	POLIT	Role	SocRel	HU	Object	ComForm	IAV	DAV	IndAdj	PowTot	EnlOth	EnlTot
coddle	X			X						X								X				X					
code																					X	X				X	X
coerce		X						X		X								X			X	X					
coercion		X						X					X					X			X						
coercive		X						X										X			X						
coexistence	X		X								X					X									X		
coffee																				X							
coffin																				X							
cogent	X						X	X						X							X			X			
cognizance	X													X													
cognizant	X													X										X			
coherent	X						X							X										X			
cohesion	X			X			X							X													
cohesive																									X		
cohesiveness																									X		
cohort	X			X										X													
coin															X					X							
coincide											X											X					
coincidence											X																
